ship_postal_code,orders_count,customer_segment
609307.0,3,Frequent
502294.0,2,Frequent
273403.0,2,Frequent
623524.0,1,One-time
761003.0,1,One-time
362001.0,21,Loyal
844121.0,2,Frequent
755020.0,1,One-time
465441.0,7,Loyal
625009.0,22,Loyal
562110.0,25,Loyal
464224.0,1,One-time
533286.0,4,Frequent
831009.0,20,Loyal
688532.0,5,Frequent
425408.0,2,Frequent
144106.0,2,Frequent
587102.0,6,Loyal
682031.0,5,Frequent
517503.0,14,Loyal
713335.0,1,One-time
301028.0,1,One-time
403803.0,1,One-time
502319.0,67,Loyal
391330.0,5,Frequent
734436.0,1,One-time
500061.0,75,Loyal
854311.0,11,Loyal
424105.0,1,One-time
673582.0,1,One-time
202137.0,8,Loyal
507167.0,2,Frequent
495454.0,4,Frequent
388325.0,8,Loyal
824234.0,1,One-time
222001.0,23,Loyal
314027.0,1,One-time
695562.0,4,Frequent
670001.0,25,Loyal
521151.0,7,Loyal
341511.0,1,One-time
421308.0,3,Frequent
630502.0,3,Frequent
500088.0,25,Loyal
144410.0,4,Frequent
679357.0,4,Frequent
673303.0,5,Frequent
561205.0,5,Frequent
516107.0,5,Frequent
591302.0,5,Frequent
670502.0,2,Frequent
581329.0,4,Frequent
524305.0,16,Loyal
466331.0,1,One-time
581326.0,1,One-time
636452.0,1,One-time
691559.0,1,One-time
794002.0,5,Frequent
402203.0,2,Frequent
190015.0,20,Loyal
492003.0,2,Frequent
531011.0,7,Loyal
516350.0,1,One-time
756100.0,3,Frequent
411022.0,8,Loyal
384315.0,12,Loyal
530048.0,33,Loyal
143602.0,1,One-time
832108.0,2,Frequent
678557.0,1,One-time
676542.0,1,One-time
577401.0,17,Loyal
577101.0,29,Loyal
242401.0,2,Frequent
764051.0,1,One-time
124112.0,2,Frequent
522317.0,3,Frequent
628151.0,2,Frequent
192123.0,1,One-time
412207.0,191,Loyal
686507.0,2,Frequent
700047.0,35,Loyal
670141.0,7,Loyal
642006.0,2,Frequent
416118.0,7,Loyal
754112.0,2,Frequent
392015.0,9,Loyal
742308.0,1,One-time
522016.0,1,One-time
248002.0,23,Loyal
302031.0,4,Frequent
500111.0,1,One-time
686020.0,1,One-time
560094.0,113,Loyal
641027.0,16,Loyal
335062.0,1,One-time
142032.0,1,One-time
635601.0,12,Loyal
783392.0,1,One-time
497226.0,4,Frequent
506381.0,3,Frequent
110070.0,163,Loyal
679523.0,3,Frequent
624618.0,1,One-time
614015.0,1,One-time
416112.0,2,Frequent
382443.0,13,Loyal
390010.0,27,Loyal
400054.0,50,Loyal
844120.0,1,One-time
403707.0,22,Loyal
603110.0,7,Loyal
401502.0,1,One-time
314038.0,2,Frequent
603310.0,3,Frequent
689585.0,1,One-time
626123.0,11,Loyal
414106.0,1,One-time
284205.0,1,One-time
784114.0,2,Frequent
826001.0,51,Loyal
624005.0,6,Loyal
673579.0,3,Frequent
325209.0,5,Frequent
273155.0,2,Frequent
680505.0,6,Loyal
785674.0,1,One-time
695101.0,5,Frequent
380004.0,24,Loyal
233232.0,2,Frequent
695006.0,17,Loyal
605001.0,38,Loyal
680006.0,13,Loyal
695609.0,1,One-time
560052.0,21,Loyal
400081.0,116,Loyal
303905.0,6,Loyal
421004.0,43,Loyal
144031.0,1,One-time
191201.0,3,Frequent
532460.0,1,One-time
679564.0,1,One-time
410222.0,7,Loyal
208020.0,14,Loyal
531022.0,1,One-time
440003.0,6,Loyal
784161.0,2,Frequent
786182.0,3,Frequent
758002.0,9,Loyal
251203.0,2,Frequent
723155.0,1,One-time
362570.0,4,Frequent
679327.0,1,One-time
515812.0,3,Frequent
781033.0,4,Frequent
805130.0,2,Frequent
642004.0,2,Frequent
621211.0,7,Loyal
203135.0,2,Frequent
691543.0,1,One-time
249201.0,28,Loyal
754213.0,3,Frequent
600028.0,89,Loyal
212201.0,2,Frequent
466115.0,1,One-time
834011.0,1,One-time
307802.0,1,One-time
110058.0,128,Loyal
411044.0,51,Loyal
855115.0,2,Frequent
581355.0,4,Frequent
682505.0,2,Frequent
785634.0,6,Loyal
517172.0,1,One-time
585402.0,3,Frequent
577221.0,3,Frequent
642111.0,1,One-time
500086.0,54,Loyal
391350.0,6,Loyal
670103.0,12,Loyal
583231.0,15,Loyal
415712.0,13,Loyal
313001.0,153,Loyal
570003.0,4,Frequent
122506.0,3,Frequent
222132.0,1,One-time
203205.0,2,Frequent
816107.0,11,Loyal
425105.0,1,One-time
144205.0,8,Loyal
813221.0,2,Frequent
768018.0,1,One-time
110017.0,191,Loyal
575007.0,14,Loyal
673001.0,19,Loyal
795107.0,1,One-time
700154.0,11,Loyal
521135.0,1,One-time
797112.0,104,Loyal
784150.0,1,One-time
231304.0,4,Frequent
734311.0,3,Frequent
561209.0,3,Frequent
171301.0,1,One-time
682305.0,6,Loyal
571419.0,1,One-time
712302.0,3,Frequent
690103.0,1,One-time
185153.0,2,Frequent
576214.0,2,Frequent
845105.0,1,One-time
686019.0,11,Loyal
361006.0,5,Frequent
334004.0,2,Frequent
123401.0,51,Loyal
743145.0,12,Loyal
516267.0,1,One-time
678006.0,7,Loyal
431603.0,3,Frequent
227305.0,2,Frequent
690517.0,6,Loyal
600037.0,98,Loyal
134007.0,5,Frequent
144628.0,1,One-time
742225.0,1,One-time
624614.0,1,One-time
571232.0,1,One-time
695318.0,2,Frequent
770025.0,2,Frequent
262802.0,3,Frequent
