item1,item2,pair_count,item1_count,item2_count,total_count,support,confidence_item1_to_item2,confidence_item2_to_item1,lift
Casual Kurta,Cotton Kurta,1,4,1,119764,8.349754517217195e-06,0.25,1.0,29940.999999999996
Casual Kurta,Designer Kurta,2,2,5,119764,1.669950903443439e-05,1.0,0.4,23952.8
Casual Kurta,Cotton Kurta,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Designer Set,Formal Set,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Casual Top,Summer Top,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Summer Top,Casual Top,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Designer Kurta,Stylish Kurta,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Formal Set,Designer Set,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Casual Kurta,Formal Top,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Casual Top,Designer Top,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Formal Top,Casual Kurta,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Stylish Kurta,Designer Kurta,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Cotton Kurta,Casual Kurta,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Designer Set,Formal Set,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Designer Kurta,Casual Kurta,2,5,2,119764,1.669950903443439e-05,0.4,1.0,23952.8
Summer Dress,Formal Top,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Casual Top,Designer Top,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Summer Dress,Designer Ethnic Dress,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Jeans,Jeans,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Casual Kurta,Cotton Kurta,1,1,5,119764,8.349754517217195e-06,1.0,0.2,23952.8
Cotton Kurta,Casual Blouse,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
Jeans,Jeans,1,5,1,119764,8.349754517217195e-06,0.2,1.0,23952.8
