item1,item2,item1_name,item2_name,pair_count
SET197-KR-NP-L,SET405-KR-NP-L,Casual Set,Designer Set,3
JNE3800-KR-XXL,JNE3798-KR-XXL,Casual Dress,Evening Dress,3
JNE3800-KR-XXXL,JNE3797-KR-XXXL,Summer Dress,Cocktail Dress,3
JNE3801-KR-L,JNE3800-KR-L,Casual Kurta,Evening Dress,3
JNE3742-KR-L,JNE3758-KR-L,Cotton Kurta,Casual Kurta,3
JNE3801-KR-M,JNE3797-KR-L,Cotton Kurta,Evening Dress,3
JNE3801-KR-M,JNE3800-KR-M,Cotton Kurta,Evening Dress,3
JNE3801-KR-S,JNE3797-KR-S,Designer Kurta,Evening Dress,3
J0341-DR-XL,J0343-DR-XL,Summer Dress,Evening Dress,3
JNE3546-KR-L,SET144-KR-NP-L,Stylish Kurta,Elegant Set,3
JNE3801-KR-XL,JNE3800-KR-XL,Casual Kurta,Summer Dress,3
JNE3546-KR-M,JNE3439-KR-M,Stylish Kurta,Stylish Kurta,3
J0230-SKD-XS,SET268-KR-NP-XS,Elegant Set,Designer Set,3
SET243-KR-PP-M,J0244-SKD-M,Designer Set,Formal Set,3
SET243-KR-PP-M,SET281-KR-PP-M,Designer Set,Formal Set,3
JNE3373-KR-XS,JNE2199-KR-411-A-XS,Designer Kurta,Casual Kurta,3
J0341-DR-XXXL,J0338-DR-XXXL,Cocktail Dress,Summer Dress,3
J0341-DR-XXXL,J0339-DR-XXXL,Cocktail Dress,Casual Dress,3
J0119-TP-L,J0118-TP-L,Formal Top,Casual Top,3
SET264-KR-NP-L,SET268-KR-NP-L,Formal Set,Elegant Set,3
SET264-KR-NP-XL,SET265-KR-NP-XL,Designer Set,Designer Set,3
SET264-KR-NP-XL,SET269-KR-NP-XL,Designer Set,Formal Set,3
JNE3758-KR-L,JNE3742-KR-L,Casual Kurta,Cotton Kurta,3
SET265-KR-NP-S,SET268-KR-NP-S,Designer Set,Elegant Set,3
SET265-KR-NP-XL,SET264-KR-NP-XL,Designer Set,Designer Set,3
JNE3804-KR-M,JNE3567-KR-M,Casual Kurta,Designer Kurta,3
JNE3567-KR-L,JNE3405-KR-L,Cotton Kurta,Designer Kurta,3
JNE3567-KR-M,JNE3405-KR-M,Designer Kurta,Designer Kurta,3
J0336-TP-L,J0344-TP-L,Formal Top,Summer Top,3
SET268-KR-NP-L,SET197-KR-NP-L,Elegant Set,Casual Set,3
SET268-KR-NP-L,SET264-KR-NP-L,Elegant Set,Formal Set,3
SET268-KR-NP-L,SET269-KR-NP-L,Elegant Set,Formal Set,3
SET268-KR-NP-M,SET183-KR-DH-M,Designer Set,Elegant Set,3
JNE2199-KR-411-A-XS,JNE3373-KR-XS,Casual Kurta,Designer Kurta,3
SET268-KR-NP-S,SET265-KR-NP-S,Elegant Set,Designer Set,3
JNE3567-KR-M,JNE3804-KR-M,Designer Kurta,Casual Kurta,3
JNE3810-KR-XXL,JNE3837-KR-XXL,Designer Kurta,Designer Kurta,3
SET268-KR-NP-XS,J0230-SKD-XS,Designer Set,Elegant Set,3
JNE3437-KR-S,JNE3465-KR-S,Casual Kurta,Designer Kurta,3
J0343-DR-XL,J0341-DR-XL,Evening Dress,Summer Dress,3
SET268-KR-NP-XXL,SET269-KR-NP-XXL,Designer Set,Designer Set,3
J0119-TP-M,J0117-TP-M,Designer Top,Casual Top,3
JNE3437-KR-XXXL,JNE3465-KR-XXXL,Cotton Kurta,Casual Kurta,3
SET269-KR-NP-L,SET268-KR-NP-L,Formal Set,Elegant Set,3
SET269-KR-NP-XL,SET264-KR-NP-XL,Formal Set,Designer Set,3
SET269-KR-NP-XXL,SET268-KR-NP-XXL,Designer Set,Designer Set,3
JNE3837-KR-XXL,JNE3810-KR-XXL,Designer Kurta,Designer Kurta,3
JNE3439-KR-M,JNE3546-KR-M,Stylish Kurta,Stylish Kurta,3
JNE3687-TU-S,J0184-KR-A-S,Summer Top,Stylish Kurta,3
SET279-LC-S,J0095-SET-M,Elegant Set,Designer Set,3
J0389-TP-L,J0418-TP-L,Casual Top,Casual Top,3
JNE3568-KR-XL,JNE3405-KR-XL,Designer Kurta,Casual Kurta,3
SET281-KR-PP-M,SET243-KR-PP-M,Formal Set,Designer Set,3
J0344-TP-L,J0196-TP-L,Summer Top,Casual Top,3
JNE3480-KR-XXL,JNE3619-KR-XXL,Cotton Kurta,Stylish Kurta,3
JNE3775-KR-XXXL,JNE3790-KR-XXXL,Cotton Kurta,Cotton Kurta,3
JNE3480-KR-XXL,JNE3721-KR-XXL,Cotton Kurta,Cotton Kurta,3
JNE3440-KR-N-L,JNE3405-KR-L,Stylish Kurta,Designer Kurta,3
JNE3780-KR-XXL,JNE3257-KR-XXL,Casual Kurta,Cotton Kurta,3
JNE3780-KR-XXL,JNE3617-KR-XXL,Casual Kurta,Cotton Kurta,3
JNE3610-KR-XL,JNE3506-KR-XL,Designer Kurta,Cotton Kurta,3
JNE3482-KR-S,JNE3487-KR-S,Casual Kurta,Casual Kurta,3
JNE3703-KR-L,JNE3721-KR-L,Designer Kurta,Casual Kurta,3
JNE3703-KR-M,JNE1234-MULTI-KR-032-M,Designer Kurta,Cotton Kurta,3
JNE3440-KR-N-M,JNE3405-KR-M,Casual Kurta,Designer Kurta,3
JNE3440-KR-N-M,JNE3423-KR-M,Casual Kurta,Stylish Kurta,3
MEN5001-KR-M,MEN5023-KR-M,Cotton Kurta,Designer Kurta,3
MEN5002-KR-L,MEN5009-KR-L,Cotton Kurta,Cotton Kurta,3
J0344-TP-L,J0336-TP-L,Summer Top,Formal Top,3
JNE3399-KR-M,JNE3373-KR-M,Stylish Kurta,Stylish Kurta,3
