sku,style,category,size,asin
SET228-KR-PP-A-XXXL,SET228,Set,3XL,B09HMVYKV8
MEN5023-KR-S,MEN5023,kurta,S,B08YZ1GSGW
SET388-KR-NP-S,SET388,Set,S,B09QJNMFVK
SET333-KR-DPT-XL,SET333,Set,XL,B09RKFZ1KH
SET172-KR-PP-B-M,SET172,Set,M,B0822V3NH7
SET268-KR-NP-XL,SET268,Set,XL,B08XQBF1G4
SET319-KR-NP-XL,SET319,Set,XL,B09KXVPJ7M
SET378-KR-NP-XS,SET378,Set,XS,B09RKFQBBZ
SET344-KR-NP-S,SET344,Set,S,B09QJ4TZR6
MEN5002-KR-M,MEN5002,kurta,M,B08YZ4WLT3
MEN5006-KR-XXL,MEN5006,kurta,XXL,B08YYTB4R3
SET363-KR-NP-XL,SET363,Set,XL,B09TH6N96L
JNE3794-KR-XXXL,JNE3794,kurta,3XL,B09HMHM56Y
SET131-KR-NP-A-XXL,SET131,Set,XXL,B07WPVB9GJ
SET203-KR-DPT-S,SET203,Set,S,B08MYT94FH
